specs_compound_name,chembl_id,pref_name,synonyms,max_phase,first_approval,therapeutic_flag,withdrawn_flag,canonical_smiles,standard_inchi_key,full_mwt,alogp,hba,hbd,aromatic_rings,num_ro5_violations,indication_class,drug_schembl,drug_cid,n_moa_rows,moa_actions,moa_text,moa_target_chembl_ids,n_assay_rows,n_unique_assays,n_unique_targets_assayed,best_pchembl,median_pchembl,has_drug_info,has_moa,has_assay,n_unique_targets,target_chembl_ids,target_descriptions,target_uniprot_ids,n_unique_pathways,pathways,kegg_ids,ec_numbers,has_target_info,has_pathway_info
(-)-Huperzine A,CHEMBL395280,HUPERZINE A,(-)-HUPERZINE A,2.0,,0.0,0.0,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,ZRJBHWIHUMBLCN-YQEJDHNASA-N,242.32,2.0,2.0,2.0,1.0,0.0,,136368.0,854026.0,1.0,INHIBITOR,Acetylcholinesterase inhibitor,CHEMBL220,61.0,57.0,7.0,9.27,7.13,True,True,True,7.0,CHEMBL1914; CHEMBL220; CHEMBL3198; CHEMBL3199; CHEMBL4078; CHEMBL4768; CHEMBL4780,Acetylcholinesterase; Cholinesterase,P22303; P37136; P23795; P04058; P06276; O42275; P21836,1.0,map00564  Glycerophospholipid metabolism,path:map00564,3.1.1.7; 3.1.1.8,True,True
"1,12-Besm",CHEMBL18794,BIS(ETHYL)SPERMINE,,,,0.0,0.0,CCNCCCNCCCCNCCCNCC,PGMIWVSHZMWSSI-UHFFFAOYSA-N,258.45,0.95,4.0,4.0,0.0,0.0,,7092466.0,4283.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
"1,2,3,4,5,6-hexabromocyclohexane",CHEMBL444236,,,,,0.0,0.0,BrC1C(Br)C(Br)C(Br)C(Br)C1Br,QFQZKISCBJKVHI-UHFFFAOYSA-N,557.54,4.58,0.0,0.0,0.0,1.0,,459442.0,74603.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
"1,3-dipropyl-8-phenylxanthine",CHEMBL158507,,,,,0.0,0.0,CCCn1c(=O)c2nc(-c3ccccc3)[nH]c2n(CCC)c1=O,CLIGSMOZKDCDRZ-UHFFFAOYSA-N,312.37,2.37,5.0,1.0,3.0,0.0,,12648449.0,128784.0,1.0,,,,23.0,23.0,10.0,9.15,7.89,True,True,True,10.0,CHEMBL251; CHEMBL255; CHEMBL2605; CHEMBL302; CHEMBL318; CHEMBL3356; CHEMBL3397; CHEMBL340; CHEMBL3622; CHEMBL4975,Adenosine receptor A1; Adenosine receptor A2a; Adenosine receptor A2b; Cytochrome P450 2C9; Cytochrome P450 3A4; Cytochrome P450 2C19; Cytochrome P450 1A2,P25099; P30543; P29275; P29274; P46616; P28190; P11712; P08684; P33261; P05177,2.0,map00071  Fatty acid degradation;map00140  Steroid hormone biosynthesis;map00232  Caffeine metabolism;map00380  Tryptophan metabolism;map00590  Arachidonic acid metabolism;map00591  Linoleic acid metabolism;map00627  Aminobenzoate degradation;map00830  Retinol metabolism;map00980  Metabolism of xenobiotics by cytochrome P450;map00982  Drug metabolism - cytochrome P450;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01120  Microbial metabolism in diverse environments;map00902  Monoterpenoid biosynthesis;map00903  Limonene degradation; map00071  Fatty acid degradation;map00140  Steroid hormone biosynthesis;map00232  Caffeine metabolism;map00380  Tryptophan metabolism;map00590  Arachidonic acid metabolism;map00591  Linoleic acid metabolism;map00627  Aminobenzoate degradation;map00830  Retinol metabolism;map00980  Metabolism of xenobiotics by cytochrome P450;map00982  Drug metabolism - cytochrome P450;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01120  Microbial metabolism in diverse environments,path:map00071;path:map00140;path:map00232;path:map00380;path:map00590;path:map00591;path:map00627;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map00902;path:map00903; path:map00071;path:map00140;path:map00232;path:map00380;path:map00590;path:map00591;path:map00627;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53; 1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73; 1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53; 1.14.14.75; 1.14.14.1; 4.2.1.152,True,True
"1,4-butanediol",CHEMBL171623,"1,4-BUTANEDIOL",,,,0.0,0.0,OCCCCO,WERYXYBDKMZEQL-UHFFFAOYSA-N,90.12,-0.25,2.0,2.0,0.0,0.0,,15086.0,8064.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",CHEMBL3306352,,,,,0.0,0.0,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,LDLCEGCJYSDJLX-UPHRSURJSA-N,215.71,0.25,3.0,0.0,0.0,0.0,,1138998.0,5846454.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
"1-(1,2-diphenylethyl)piperidine-(+/-)",CHEMBL4303426,,,,,0.0,0.0,c1ccc(CC(c2ccccc2)N2CCCCC2)cc1,JQWJJJYHVHNXJH-UHFFFAOYSA-N,265.4,4.46,1.0,0.0,2.0,0.0,,3715253.0,206666.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,CHEMBL4303224,,,,,0.0,0.0,Cc1ccc(Cl)c(OCC(O)CNC(C)C)c1,NJEIOWSBPCZKTL-UHFFFAOYSA-N,257.76,2.39,3.0,2.0,1.0,0.0,,11203001.0,20497006.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
1-EBIO,CHEMBL452887,,,,,0.0,0.0,CCn1c(=O)[nH]c2ccccc21,CXUCKELNYMZTRT-UHFFFAOYSA-N,162.19,1.35,2.0,1.0,2.0,0.0,,12397237.0,82320.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
1-acetyl-4-methylpiperazine,CHEMBL575239,,,,,0.0,0.0,CC(=O)N1CCN(C)CC1,YSDBJKNOEWSFGA-UHFFFAOYSA-N,142.2,-0.22,2.0,0.0,0.0,0.0,,33260.0,550758.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
1-azakenpaullone,CHEMBL336961,AZAKENPAULLONE,,,,0.0,0.0,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,NTSBZVCEIVPKBJ-UHFFFAOYSA-N,328.17,3.49,2.0,2.0,3.0,0.0,,29363781.0,6538897.0,1.0,,,,25.0,25.0,15.0,8.4,6.2,True,True,True,15.0,CHEMBL1841; CHEMBL1862; CHEMBL1907600; CHEMBL1907602; CHEMBL1955; CHEMBL2094127; CHEMBL2094128; CHEMBL2147; CHEMBL2292; CHEMBL258; CHEMBL262; CHEMBL2850; CHEMBL301; CHEMBL3629; CHEMBL3669,Cyclin-dependent kinase 1/cyclin B; Cyclin-dependent kinase 5/CDK5 activator 1; Glycogen synthase kinase-3 beta; Dual specificity tyrosine-phosphorylation-regulated kinase 1A; Cyclin-dependent kinase 2; Tyrosine-protein kinase Lck; Casein kinase II subunit alpha; Glycogen synthase kinase-3 alpha; Tyrosine-protein kinase ABL1; Serine/threonine-protein kinase pim-1; Tyrosine-protein kinase Fyn; Vascular endothelial growth factor receptor 3; Cyclin-dependent kinase 1/cyclin B1; Cyclin-dependent kinase 2/cyclin A,O95067; Q15078; P49841; Q13627; P24941; P06239; P68400; P49840; P00519; P11309; P06241; P35916; P14635; P18266; P78396,0.0,,,2.7.11.22; 2.7.11.23; 2.7.11.1; 2.7.11.1; 2.7.11.26; 2.7.11.23; 2.7.12.1; 2.7.11.22; 2.7.10.2; 2.7.10.1,True,False
1-deoxymannojirimycin,CHEMBL84844,DEOXYMANNOJIRIMYCIN,,,,0.0,0.0,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,LXBIFEVIBLOUGU-KVTDHHQDSA-N,163.17,-2.97,5.0,5.0,0.0,0.0,,329674.0,72258.0,1.0,,,,2.0,2.0,2.0,5.33,5.33,True,True,True,2.0,CHEMBL3545; CHEMBL4176,Tissue alpha-L-fucosidase,P04066; Q2KIM0,1.0,map00511  Other glycan degradation,path:map00511,3.2.1.51,True,True
1-ethyl-2-pyrrolidone,CHEMBL12221,,,,,0.0,0.0,CCN1CCCC1=O,ZFPGARUNNKGOBB-UHFFFAOYSA-N,113.16,0.63,1.0,0.0,0.0,0.0,,18635.0,17595.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
1-hexadecanal,CHEMBL1235338,PALMITALDEHYDE,,,,0.0,0.0,CCCCCCCCCCCCCCCC=O,NIOYUNMRJMEDGI-UHFFFAOYSA-N,240.43,5.67,1.0,0.0,0.0,1.0,,4481.0,984.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
1-hexadecanol,CHEMBL706,CETYL ALCOHOL,ALCOHOL CETYLICUS,4.0,1990.0,1.0,0.0,CCCCCCCCCCCCCCCCO,BXWNKGSJHAJOGX-UHFFFAOYSA-N,242.45,5.46,1.0,1.0,0.0,1.0,,3381.0,2682.0,1.0,,Surfactant,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
1-naphthyl-PP1,CHEMBL264406,,,,,0.0,0.0,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,XSHQBIXMLULFEV-UHFFFAOYSA-N,317.4,3.98,5.0,1.0,4.0,0.0,,173288.0,4877.0,1.0,,,,24.0,24.0,16.0,8.15,6.22,True,True,True,16.0,CHEMBL1781862; CHEMBL1841; CHEMBL1862; CHEMBL2276; CHEMBL2480; CHEMBL2595; CHEMBL2634; CHEMBL267; CHEMBL2828; CHEMBL301; CHEMBL3582; CHEMBL3655; CHEMBL3863; CHEMBL4147; CHEMBL4900; CHEMBL5014,Tyrosine-protein kinase Fyn; Protein kinase C epsilon type; Casein kinase I isoform delta; Tyrosine-protein kinase CSK; Mitogen-activated protein kinase 8; Proto-oncogene tyrosine-protein kinase LCK; Serine/threonine-protein kinase D1; Receptor-interacting serine/threonine-protein kinase 2; Proto-oncogene tyrosine-protein kinase Src; Tyrosine-protein kinase ABL1; Calcium/calmodulin-dependent protein kinase type II subunit alpha; Cyclin-dependent kinase 2; Calmodulin-domain protein kinase 1; Serine/threonine-protein kinase D2; Serine/threonine-protein kinase D3,P06241; Q02156; P48730; P41240; P45983; P06240; Q15139; O43353; P00523; P00519; Q9UQM7; P24941; Q9BJF5; Q9BZL6; O94806; P12931,0.0,,,2.7.10.2; 2.7.11.13; 2.7.11.1; 2.7.11.26; 2.7.11.24; 2.7.10.2; 2.7.11.1; 2.7.11.17; 2.7.11.22; 2.7.11.1,True,False
1-octacosanol,CHEMBL1951714,OCTACOSANOL,CLUYTYL ALCOHOL,-1.0,,0.0,0.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,CNNRPFQICPFDPO-UHFFFAOYSA-N,410.77,10.14,1.0,1.0,0.0,1.0,,16043.0,68406.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
1-phenylbiguanide,CHEMBL13791,PHENYL BIGUANIDE,,,,0.0,0.0,N=C(N)NC(=N)Nc1ccccc1,CUQCMXFWIMOWRP-UHFFFAOYSA-N,177.21,0.52,2.0,5.0,1.0,0.0,,13919685.0,4780.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
